ID,CALLING_NUM,CALLED_NUM,START_TIME,END_TIME,CALL_TYPE,CALL_RESULT
1df12368-ecd3-47e7-a082-4e187a5f1953,153191121507,419388847707,2016-12-06 14:17:57.851392,2016-12-06 14:33:14.851392,VOICE,ANSWERED
3b5ba4b8-7091-4b71-b55f-f9984c8d45d4,419398318311,218493451709,2016-07-14 14:17:57.851392,2016-07-14 14:22:18.851392,VOICE,ANSWERED
97331015-1664-4948-b9fc-54b4c31cdb82,211689462628,216883388316,2018-04-17 14:17:57.851392,2018-04-17 14:39:38.851392,VOICE,ANSWERED
c6cb448a-4bd1-4ee8-9cd2-d58e9a720819,157589615514,156195624308,2017-05-26 14:17:57.851392,2017-05-26 14:43:07.851392,VOICE,REJECTED
a786ed73-f909-405c-8725-e7d9a021ef23,214281846947,313192565449,2018-06-08 14:17:57.852393,2018-06-08 14:24:19.852393,VOICE,REJECTED
3c73b869-df23-47af-8bb3-11144eb7a2ad,319273117500,213594031158,2017-04-09 14:17:57.852393,2017-04-09 15:12:00.852393,VOICE,ANSWERED
ca2c6759-c0ba-4bfb-9b50-3db673bdeeb1,219572649163,214688849358,2018-08-11 14:17:57.852393,2018-08-11 14:29:17.852393,VOICE,ANSWERED
82d50ea8-28f0-4152-9972-973a31388692,416798941118,313272554153,2016-03-23 14:17:57.852393,2016-03-23 15:02:04.852393,VOICE,ANSWERED
f1eb4cf7-5ff8-4d22-9208-50b96e8b242f,413280495453,312183191103,2016-05-15 14:17:57.852393,2016-05-15 15:04:59.852393,VOICE,ANSWERED
0606c70e-98b1-43b7-bab4-6b195cf18335,313190862507,416486111636,2016-10-03 14:17:57.852393,2016-10-03 15:02:53.852393,SMS,REJECTED
efa84b79-394e-494b-9951-fc71ae13f737,212771861020,315376729775,2017-12-17 14:17:57.852393,2017-12-17 14:25:04.852393,VOICE,ANSWERED
acc7ce05-1575-45c7-9db6-db0455952419,416376815230,217795783319,2018-05-25 14:17:57.852393,2018-05-25 14:35:36.852393,VOICE,ANSWERED
07ad105a-9baf-4549-b95b-a00a9c942a6d,157382297776,314573984568,2017-10-09 14:17:57.852393,2017-10-09 14:31:23.852393,VOICE,ANSWERED
20157231-3c29-4bb9-9d99-14f29e528f87,417487068842,157573276699,2017-02-16 14:17:57.852393,2017-02-16 15:03:48.852393,VOICE,ANSWERED
984a62e9-81ef-49cc-9770-c08b3eb74fda,414876575855,216378103253,2017-06-09 14:17:57.852393,2017-06-09 14:46:16.852393,VOICE,ANSWERED
745cd30e-62b0-426a-8420-a508838fec41,219789637246,214596988467,2018-08-16 14:17:57.853390,2018-08-16 15:10:24.853390,VOICE,REJECTED
5c8de875-856a-4cca-8822-cfd7b4fe2577,411597583254,319499908697,2016-09-30 14:17:57.853390,2016-09-30 14:42:11.853390,VOICE,ANSWERED
4e97d7a7-02eb-4057-afcb-2d774fc06465,211192675883,215474741523,2017-10-28 14:17:57.853390,2017-10-28 14:30:52.853390,VOICE,ANSWERED
a07ce92e-d963-4782-9a85-de10bf5fcb64,416571301370,151478137810,2016-10-03 14:17:57.853390,2016-10-03 14:24:16.853390,VOICE,ANSWERED
4a06716e-1839-46f8-96a9-6f9b7f3c0ad6,418488284715,314999157099,2018-04-25 14:17:57.853390,2018-04-25 14:24:50.853390,VOICE,REJECTED
fa55d59d-98f8-47f3-ad8d-66afde1b5231,214197256283,419270245749,2017-10-29 14:17:57.853390,2017-10-29 15:05:16.853390,SMS,ANSWERED
2b5478de-9920-4936-99d7-7466abca23f8,413785323913,311585758680,2018-03-22 14:17:57.853390,2018-03-22 14:32:26.853390,VOICE,ANSWERED
c302f251-e6fb-4069-9614-245e84f75906,156586401547,411273892050,2018-07-26 14:17:57.853390,2018-07-26 15:07:13.853390,VOICE,ANSWERED
5c7e6c4f-c860-4643-affd-e8466ab4286d,417996088451,217789361281,2018-07-31 14:17:57.853390,2018-07-31 14:37:52.853390,SMS,REJECTED
998a4e54-ea11-4393-8e0a-e0dea575eb93,415386255169,318475413537,2017-06-10 14:17:57.853390,2017-06-10 14:35:05.853390,VOICE,REJECTED
18a6f72e-7f1c-4f10-b232-99552631ac5b,318688974748,151495385110,2016-11-30 14:17:57.853390,2016-11-30 15:17:26.853390,SMS,REJECTED
9019db7b-2712-4b2e-872f-c3c78f9a116e,217590487414,218784196028,2018-01-18 14:17:57.853390,2018-01-18 14:30:16.853390,VOICE,ANSWERED
1deb1edc-0cb4-4d83-81d2-c1e3c13588d3,219793034494,418597096121,2018-05-20 14:17:57.853390,2018-05-20 15:16:41.853390,VOICE,ANSWERED
e3ecd351-91e2-4a9a-90e2-eedad9d66926,318579034307,218679584529,2017-09-16 14:17:57.853390,2017-09-16 15:12:49.853390,VOICE,ANSWERED
96014f4b-3623-44b4-90db-d09ec244135a,313496985514,414475926259,2017-03-25 14:17:57.853390,2017-03-25 14:46:43.853390,VOICE,ANSWERED
